BIC;Name
BYLADEM1NLG;SPARKASSE DILLINGEN-NOERDLINGEN
BYLADEM1NMA;SPARKASSE NEUMARKT - PARSBERG
BYLADEM1NUL;SPARKASSE NEU-ULM-ILLERTISSEN
BYLADEM1PAF;SPARKASSE PFAFFENHOFEN
BYLADEM1PAS;SPARKASSE PASSAU
BYLADEM1RBG;SPARKASSE REGENSBURG
BYLADEM1REG;SPARKASSE REGEN - VIECHTACH
BYLADEM1ROS;SPARKASSE ROSENHEIM-BAD AIBLING
BYLADEM1ROT;SPARKASSE ANSBACH
BYLADEM1SAD;SPARKASSE IM LANDKREIS SCHWANDORF
BYLADEM1SBT;SPARKASSE BAYREUTH
BYLADEM1SFU;SPARKASSE FUERTH
BYLADEM1SKB;SPARKASSE BAMBERG
BYLADEM1SOG;SPARKASSE OBERLAND
BYLADEM1SRG;SPARKASSE NIEDERBAYERN-MITTE
BYLADEM1SRS;SPARKASSE MITTELFRANKEN SUED
BYLADEM1SSH;SPARKASSE AICHACH - SCHROBENHAUSEN (ALT)
BYLADEM1SSW;STAEDTISCHE SPARKASSE SCHWEINFURT
BYLADEM1SWU;SPARKASSE MAINFRANKEN WUERZBURG
BYLADEM1TIR;SPARKASSE OBERPFALZ NORD
BYLADEM1TST;KREISSPARKASSE TRAUNSTEIN - TROSTBERG
BYLADEM1WEN;SPARKASSE OBERPFALZ NORD
BYLADEM1WHM;SPARKASSE OBERLAND
BYLADEM1WOR;SPARKASSE BAD TOELZ-WOLFRATSHAUSEN
BYLADEM1WSB;KREIS- UND STADTSPARKASSE WASSERBURG
BYLADEM1001;DEUTSCHE KREDIT BANK A.G. BERLIN
BYLADE77;BAYERISCHE LANDESBANK,NUERNBERG BRANCH
CAIXDEFF;CAIXABANK, S.A., ZWEIGNIEDERLASSUNG DEUTSCHLAND
CBSRDE71;CB BANK GMBH
CCBADE31;SANTANDER CONSUMER BANK
CHASDEFX;J.P.MORGAN AG
CHDBDEHH;DONNER AND REUSCHEL AKTIENGESELLSCHAFT
CHEKDE81;SPARKASSE CHEMNITZ
CITIDEFF;CITIGROUP GLOBAL MARKETS DEUTSCHLAND AG
CKVHDE21;CALENBERGER KREDITVEREIN CALENBERG-GOETTINGEN-GRUBENHAGEN-HILDESHEIM'S
CMCIDEDD;TARGOBANK AG
CMCIDEFF;BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM)
CMCIDEF1;BANQUE EUROPEENNE DU CREDIT MUTUEL
COBADEBB;COMMERZBANK AG
COBADEDD;COMMERZBANK AG
COBADEDH;COMMERZBANK AG, WUPPERTAL (ZW.117)
COBADEFF;COMMERZBANK AG
COBADEF1;COMMERZBANK AG
COBADEHD;COMDIRECT BANK AG
COBADEHH;COMMERZBANK AG
COKSDE33;KREISSPARKASSE KOELN
COLSDE33;SPARKASSE KOELNBONN (FORMER STADTSPARKASSE KOELN)
COMMDEFF;BANK OF COMMUNICATIONS CO. LTD FRANKFURT BRANCH
CPLADE55;TARGOBANK AG (FACTORINGGESCHAEFT)
CPLUDES1;CREDITPLUS BANK AKTIENGESELLSCHAFT
CRESDE55;CREDIT SUISSE (DEUTSCHLAND) AG
CSDBDE71;BNP PARIBAS S.A. NIEDERLASSUNG DEUTSCHLAND
CUABDED1;BANK11DIREKT GMBH
DAAEDEDD;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1002;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1003;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1004;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1005;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1006;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1007;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1008;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1009;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1010;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1011;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1012;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1013;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1014;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1015;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1016;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1017;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1018;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1019;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1020;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1021;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1022;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1023;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1024;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1025;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1026;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1027;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1028;DEUTSCHE APOTHEKER- UND AERZTEBANK
